i	j	sigma	hit	hit_l1_err	hit_l2_err	miss	miss_l1_err	miss_l2_err	l1_err	l2_err	max_err
5	2	0.316228	1024	0.00225359	0.00355855	27	0.00486199	0.00599974	0.000137407	0.000164818	0.0282963
5	3	0.316228	1024	0.00232691	0.0040192	16	0.00572616	0.00759378	0.000137416	0.000167349	0.0534177
5	4	0.316228	1024	0.00225011	0.00356571	12	0.00264996	0.00326394	0.000137373	0.000164245	0.0344588
5	5	0.316228	1024	0.00225802	0.00362833	17	0.00220075	0.00262703	0.000137392	0.000164572	0.0323375
5	6	0.316228	1024	0.0023735	0.00379745	15	0.00280134	0.00355676	0.000137424	0.000165553	0.0298782
5	7	0.316228	1024	0.0022113	0.00342702	19	0.00279025	0.00380698	0.000137367	0.00016363	0.0232296
5	8	0.316228	1024	0.00245658	0.00461597	19	0.00400545	0.00478587	0.000137452	0.000170726	0.0542317
5	9	0.316228	1024	0.00220768	0.00351532	12	0.00338338	0.00382823	0.000137368	0.000164014	0.0360522
6	0	1	1024	0.00653207	0.00924783	55	0.0265737	0.0614455	0.000434522	0.000555701	0.252702
6	1	1	1024	0.00706784	0.0102851	54	0.0151009	0.0327703	0.000434555	0.000527322	0.165752
6	2	1	1024	0.00697832	0.00993674	65	0.0462006	0.0923052	0.000435067	0.00062814	0.279349
6	3	1	1024	0.00684531	0.00999092	51	0.0254203	0.0650508	0.000434654	0.00056057	0.300548
6	4	1	1024	0.00685992	0.0101821	69	0.0422384	0.106038	0.000435042	0.000669852	0.616536
6	5	1	1024	0.00691402	0.0100581	62	0.0289207	0.0601546	0.000434745	0.000562675	0.268548
6	6	1	1024	0.00647228	0.00934149	41	0.0245376	0.0567493	0.000434553	0.000539631	0.234367
6	7	1	1024	0.00695029	0.00998195	56	0.0492854	0.0962096	0.000435045	0.000621551	0.306638
6	8	1	1024	0.00682831	0.00987097	31	0.0260807	0.0641295	0.000434534	0.000540926	0.251283
6	9	1	1024	0.00704333	0.0102082	49	0.0197792	0.040884	0.000434613	0.000532339	0.166354
